date,equity,cash_realized,open_positions,exposure
2023-05-01,1000000.0,1000000.0,0,0.0
2023-05-02,1000000.0,1000000.0,0,0.0
2023-05-03,1000000.0,1000000.0,0,0.0
2023-05-04,1000000.0,1000000.0,0,0.0
2023-05-05,1000000.0,1000000.0,0,0.0
2023-05-08,1000000.0,1000000.0,0,0.0
2023-05-09,1000000.0,1000000.0,0,0.0
2023-05-10,1000000.0,1000000.0,0,0.0
2023-05-11,1000000.0,1000000.0,0,0.0
2023-05-12,1000000.0,1000000.0,0,0.0
2023-05-15,1000000.0,1000000.0,0,0.0
2023-05-16,1000000.0,1000000.0,0,0.0
2023-05-17,1000000.0,1000000.0,0,0.0
2023-05-18,1000000.0,1000000.0,0,0.0
2023-05-19,1000000.0,1000000.0,0,0.0
2023-05-22,1000000.0,1000000.0,0,0.0
2023-05-23,1000000.0,1000000.0,0,0.0
2023-05-24,1000000.0,1000000.0,0,0.0
2023-05-25,1000000.0,1000000.0,0,0.0
2023-05-26,1000000.0,1000000.0,0,0.0
2023-05-30,1000000.0,1000000.0,0,0.0
2023-05-31,1000000.0,1000000.0,0,0.0
2023-06-01,1000000.0,1000000.0,0,0.0
2023-06-02,1000000.0,1000000.0,0,0.0
2023-06-05,1000000.0,1000000.0,0,0.0
2023-06-06,1000000.0,1000000.0,0,0.0
2023-06-07,1000000.0,1000000.0,0,0.0
2023-06-08,1000000.0,1000000.0,0,0.0
2023-06-09,1000000.0,1000000.0,0,0.0
2023-06-12,1000000.0,1000000.0,0,0.0
2023-06-13,1000000.0,1000000.0,0,0.0
2023-06-14,1000000.0,1000000.0,0,0.0
2023-06-15,1000000.0,1000000.0,0,0.0
2023-06-16,1000000.0,1000000.0,0,0.0
2023-06-20,1000000.0,1000000.0,0,0.0
2023-06-21,1000000.0,1000000.0,0,0.0
2023-06-22,1000000.0,1000000.0,0,0.0
2023-06-23,1000000.0,1000000.0,0,0.0
2023-06-26,1000000.0,1000000.0,0,0.0
2023-06-27,1000000.0,1000000.0,0,0.0
2023-06-28,1000000.0,1000000.0,0,0.0
2023-06-29,1000000.0,1000000.0,0,0.0
2023-06-30,1000000.0,1000000.0,0,0.0
2023-07-03,1000000.0,1000000.0,0,0.0
2023-07-05,1000000.0,1000000.0,0,0.0
2023-07-06,1000000.0,1000000.0,0,0.0
2023-07-07,1000000.0,1000000.0,0,0.0
2023-07-10,1000000.0,1000000.0,0,0.0
2023-07-11,1000000.0,1000000.0,0,0.0
2023-07-12,1000000.0,1000000.0,0,0.0
2023-07-13,1000000.0,1000000.0,0,0.0
2023-07-14,1000000.0,1000000.0,0,0.0
2023-07-17,1000000.0,1000000.0,0,0.0
2023-07-18,1000000.0,1000000.0,0,0.0
2023-07-19,1000000.0,1000000.0,0,0.0
2023-07-20,1000000.0,1000000.0,0,0.0
2023-07-21,1000000.0,1000000.0,0,0.0
2023-07-24,1000000.0,1000000.0,0,0.0
2023-07-25,1000000.0,1000000.0,0,0.0
2023-07-26,1000000.0,1000000.0,0,0.0
2023-07-27,1000000.0,1000000.0,0,0.0
2023-07-28,1000000.0,1000000.0,0,0.0
2023-07-31,1000000.0,1000000.0,0,0.0
2023-08-01,1000000.0,1000000.0,0,0.0
2023-08-02,1000000.0,1000000.0,0,0.0
2023-08-03,1000000.0,1000000.0,0,0.0
2023-08-04,1000000.0,1000000.0,0,0.0
2023-08-07,1000000.0,1000000.0,0,0.0
2023-08-08,1000000.0,1000000.0,0,0.0
2023-08-09,1000000.0,1000000.0,0,0.0
2023-08-10,1000000.0,1000000.0,0,0.0
2023-08-11,1000000.0,1000000.0,0,0.0
2023-08-14,1000000.0,1000000.0,0,0.0
